oui_hex,manufacturer,country_code,address_raw
001504,"GAME PLUS CO., LTD.",KR,"164-57, Yeonghwa-dong, Jangan-gu Suwon Gyeonggi-do KR 440-818"
001519,StoreAge Networking Technologies,IL,63 Bar-Yehuda st. Nesher IL 36651
001520,Radiocrafts AS,NO,Sandakerveien 64 Oslo NO 0484
00152B,"Cisco Systems, Inc",US,80 West Tasman Drive San Jose CA US 94568
001535,OTE Spa,IT,via Barsanti 8 Florence FI IT 50127
001538,"RFID, Inc.",US,14100 East Jewell Ave. Aurora CO US 80012
00153A,"Shenzhen Syscan Technology Co.,Ltd.",CN,"13F, Olympic Plaza, Shenzhen Guangdong CN 518034"
00153B,EMH Metering GmbH & Co. KG,DE,Neu- Galliner Weg 1 Mecklenburg-Vorpommern DE
00153C,"Kprotech Co., Ltd.",KR,"2nd Floor, # 202, Myoung-ji e-Space II An-yang City Gyeong-gi Do KR 430-817"
001543,Aberdeen Test Center,US,400 Colleran Road Aberdeen Proving Grounds MD US 21005-5059
00154F,one RF Technology,FR,1360 Route des Dolines Valbonne Sophia-Antipolis PACA FR 06560
00155D,Microsoft Corporation,US,One Microsoft Way Redmond WA US 98052-8300
001568,Dilithium Networks,US,5401 Old Redwood Hwy Petaluma CA US 94954
00156E,A. W. Communication Systems Ltd,GB,Crook Barn Carlisle Cumbria GB CA6 6LH
001574,Horizon Semiconductors Ltd.,IL,9 Hamenofim St. Herzliya IL 46120
001577,"Allied Telesis, Inc.",US,3200 North First Street San Jose US 95134
001579,Lunatone Industrielle Elektronik GmbH,AT,Rennbahnweg 55 Wien AT 1220
00157B,Leuze electronic GmbH + Co. KG,DE,In der Braike 1 Owen Baden-Württemberg DE 73277
00157E,Weidmüller Interface GmbH & Co. KG,DE,Klingenbergstraße 16 Detmold DE 32758
00157F,"ChuanG International Holding CO.,LTD.",US,"1F, NO.12, Alley 1, Lane 125, Guolian Street 4Lirn, Wuhan Village Taoyuan Longtan US 325"
001580,U-WAY CORPORATION,TW,"3F-2, NO. 125, LANE 235, PAO-CHIAO HSINTIEN CITY TAIPEI HSIEN TW 231"
001582,Pulse Eight Limited,,8-12 Alder Hills Poole GB BH12 4AL
001589,"D-MAX Technology Co.,Ltd",US,"7F-6,NO.26,Lian Cheng RD.,Chung-Ho City Taipei Hsien US 235"
00158C,Liab ApS,DK,Oestre Alle 6 Stoevring DK DK-9530
00159C,"B-KYUNG SYSTEM Co.,Ltd.",KR,"WOOLIM E-BIZ CENTER,170-5 GURO-DONG GURO-GU KR 152-847"
00159E,Mad Catz Interactive Inc,,Units 3+4 West Point Row Bristol South Gloucestershire US BS32 4QG
0015A3,Commscope,US,6450 Sequence Drive San Diego CA US 92121
0015AA,"Rextechnik International Co.,",TW,"Room 5-3, No.51, Section 2, Keelung Road Taipei TW 110"
0015AB,PRO CO SOUND INC,US,225 PARSONS STREET KALAMAZOO MICHIGAN US 49008
0015AE,kyung il,KR,woar rong-myn yougate-ri 101-2 paju-city gyeong gi KR 413-813
0015B9,"Samsung Electronics Co.,Ltd",KR,#94-1 Gumi-City Gyeong-Buk KR 730-350
0015BA,iba AG,DE,Koenigswarterstrasse 44 Fuerth Bavaria DE 90762
0015C2,3M Germany,DE,Carl Schurz Str. 1 Neuss NRW DE 41453
0015C4,"FLOVEL CO., LTD.",JP,"The Tachihi building No,3 hall, 6-1, Sakae-cho, Tokyo JP 190-0003"
0015D0,Commscope,US,6450 Sequence Drive San Diego CA US 92121
0015D6,OSLiNK Sp. z o.o.,PL,ul. Marsa 27 Gdansk PL 80299
0015DE,Nokia Danmark A/S,DK,Frederikskaj Copenhagen V DK DK-1790
0015E8,Nortel Networks,CA,8200 Dixie Rd Brampton Ontario CA 0000
0015F1,KYLINK Communications Corp.,TW,"8F-8, No. 351, Sec. 2, Zhongshan Rd., Zhonghe City TW 23504"
0015FD,Complete Media Systems,GB,Grove Place Warninglid West sussex GB RH17 5SN
0015FE,SCHILLING ROBOTICS LLC,US,260 COUSTEAU PL DAVIS CA US 95618
0016E8,Lumissil Microsystems,US,1623 Buckeye Dr. Milpitas CA US 95035
001C55,Shenzhen Kaifa Technology Co.,CN,"7006 Caitian Road, Futian District, Shenzhen Guangdong CN 518035"
001FA9,"Atlanta DTH, Inc.",US,5388 New Peachtree Rd Chamblee GA US 30341
08674E,"Hisense broadband multimedia technology Co.,Ltd",CN,Song ling Road 399 Qingdao CN 266000
0C96E6,Cloud Network Technology (Samoa) Limited,CN,"Building D21,No.1, East Zone 1st Road,Xiyong Town,Shapingba District Chongqing Chongqing CN 401332"
10394E,"Hisense broadband multimedia technology Co.,Ltd",CN,Song ling Road 399 Qingdao CN 266000
105BAD,Mega Well Limited,CN,"Building D21,No.1, East Zone 1st Road,Xiyong Town,Shapingba District Chongqing Chongqing CN 401332"
18473D,"CHONGQING FUGUI ELECTRONICS CO.,LTD.",CN,"Building D21,No.1, East Zone 1st Road,Xiyong Town,Shapingba District Chongqing Chongqing CN 401332"
1CBFC0,"CHONGQING FUGUI ELECTRONICS CO.,LTD.",CN,"Building D21,No.1, East Zone 1st Road,Xiyong Town,Shapingba District Chongqing Chongqing CN 401332"
283A4D,Cloud Network Technology (Samoa) Limited,CN,"Building D21,No.1, East Zone 1st Road,Xiyong Town,Shapingba District Chongqing Chongqing CN 401332"
28565A,"Hon Hai Precision Ind. Co.,Ltd.",CN,"Building D21,No.1, East Zone 1st Road Chongqing Chongqing CN 401332"
2C6FC9,"Hon Hai Precision Ind. Co.,Ltd.",CN,"Building D21,No.1, East Zone 1st Road Chongqing Chongqing CN 401332"
30F772,"Hon Hai Precision Ind. Co.,Ltd.",CN,"Building D21,No.1, East Zone 1st Road Chongqing Chongqing CN 401332"
402343,"CHONGQING FUGUI ELECTRONICS CO.,LTD.",CN,"Building D21,No.1, East Zone 1st Road,Xiyong Town,Shapingba District Chongqing Chongqing CN 401332"
40490F,"Hon Hai Precision Ind. Co.,Ltd.",CN,"Building D21,No.1, East Zone 1st Road Chongqing Chongqing CN 401332"
404A03,Zyxel Communications Corporation,TW,"No. 6 Innovation Road II, Science Park Hsichu Taiwan TW 300"
405BD8,"CHONGQING FUGUI ELECTRONICS CO.,LTD.",CN,"Building D21,No.1, East Zone 1st Road,Xiyong Town,Shapingba District Chongqing Chongqing CN 401332"
485F99,Cloud Network Technology (Samoa) Limited,CN,"Building D21,No.1, East Zone 1st Road,Xiyong Town,Shapingba District Chongqing Chongqing CN 401332"
4CEBBD,"CHONGQING FUGUI ELECTRONICS CO.,LTD.",CN,"Building D21,No.1, East Zone 1st Road,Xiyong Town,Shapingba District Chongqing Chongqing CN 401332"
541379,"Hon Hai Precision Ind. Co.,Ltd.",CN,"Building D21,No.1, East Zone 1st Road Chongqing Chongqing CN 401332"
5C3A45,"CHONGQING FUGUI ELECTRONICS CO.,LTD.",CN,"Building D21,No.1, East Zone 1st Road,Xiyong Town,Shapingba District Chongqing Chongqing CN 401332"
5CBAEF,"CHONGQING FUGUI ELECTRONICS CO.,LTD.",CN,"Building D21,No.1, East Zone 1st Road,Xiyong Town,Shapingba District Chongqing Chongqing CN 401332"
5CEA1D,"Hon Hai Precision Ind. Co.,Ltd.",CN,"Building D21,No.1, East Zone 1st Road Chongqing Chongqing CN 401332"
681401,"Hon Hai Precision Ind. Co.,Ltd.",CN,"Building D21,No.1, East Zone 1st Road Chongqing Chongqing CN 401332"
7440BB,"Hon Hai Precision Ind. Co.,Ltd.",CN,"Building D21,No.1, East Zone 1st Road Chongqing Chongqing CN 401332"
802BF9,"Hon Hai Precision Ind. Co.,Ltd.",CN,"Building D21,No.1, East Zone 1st Road Chongqing Chongqing CN 401332"
84AA9C,MitraStar Technology Corp.,TW,"No. 6, Innovation Road II, Hsinchu TW 300"
8CC84B,"CHONGQING FUGUI ELECTRONICS CO.,LTD.",CN,"Building D21,No.1, East Zone 1st Road,Xiyong Town,Shapingba District Chongqing Chongqing CN 401332"
90324B,"Hon Hai Precision Ind. Co.,Ltd.",CN,"Building D21,No.1, East Zone 1st Road Chongqing Chongqing CN 401332"
90CDB6,"Hon Hai Precision Ind. Co.,Ltd.",CN,"Building D21,No.1, East Zone 1st Road Chongqing Chongqing CN 401332"
945330,"Hon Hai Precision Ind. Co.,Ltd.",CN,"Building D21,No.1, East Zone 1st Road Chongqing Chongqing CN 401332"
9897D1,MitraStar Technology Corp.,TW,"No. 6, Innovation Road II, Hsinchu TW 300"
9C305B,"Hon Hai Precision Ind. Co.,Ltd.",CN,"Building D21,No.1, East Zone 1st Road Chongqing Chongqing CN 401332"
A4FC77,Mega Well Limited,CN,"Building D21,No.1, East Zone 1st Road,Xiyong Town,Shapingba District Chongqing Chongqing CN 401332"
A86BAD,"Hon Hai Precision Ind. Co.,Ltd.",CN,"Building D21,No.1, East Zone 1st Road Chongqing Chongqing CN 401332"
AC4AFE,"Hisense Broadband Multimedia Technology Co.,Ltd.",CN,"No.11 Jiangxi Road,Shinan District Qingdao City Shandong Province CN 266071"
ACD564,"CHONGQING FUGUI ELECTRONICS CO.,LTD.",CN,"Building D21,No.1, East Zone 1st Road,Xiyong Town,Shapingba District Chongqing Chongqing CN 401332"
B046FC,MitraStar Technology Corp.,TW,"No. 6, Innovation Road II, Hsinchu TW 300"
B05216,"Hon Hai Precision Ind. Co.,Ltd.",CN,"Building D21,No.1, East Zone 1st Road Chongqing Chongqing CN 401332"
B068E6,"CHONGQING FUGUI ELECTRONICS CO.,LTD.",CN,"Building D21,No.1, East Zone 1st Road,Xiyong Town,Shapingba District Chongqing Chongqing CN 401332"
B4B5B6,"CHONGQING FUGUI ELECTRONICS CO.,LTD.",CN,"Building D21,No.1, East Zone 1st Road,Xiyong Town,Shapingba District Chongqing Chongqing CN 401332"
B84DEE,"Hisense broadband multimedia technology Co.,Ltd",CN,Song ling Road 399 Qingdao CN 266000
B8FFB3,MitraStar Technology Corp.,TW,"No. 6, Innovation Road II, Hsinchu TW 300"
C0B5D7,"CHONGQING FUGUI ELECTRONICS CO.,LTD.",CN,"Building D21,No.1, East Zone 1st Road,Xiyong Town,Shapingba District Chongqing Chongqing CN 401332"
CCD4A1,MitraStar Technology Corp.,TW,"No. 6, Innovation Road II, Hsinchu TW 300"
CCEDDC,MitraStar Technology Corp.,TW,"No. 6, Innovation Road II, Hsinchu TW 300"
D43A2E,SHENZHEN MTC CO LTD,CN,"5th Floor, 3rd Building, SHENZHEN MTC Industrial Park, XiaLilang Rd, Nanwan Street, Long’gang District Shenzhen Guangdong CN 518100"
D43A2F,SHENZHEN MTC CO LTD,CN,"5th Floor, 3rd Building, SHENZHEN MTC Industrial Park, XiaLilang Rd, Nanwan Street, Long’gang District Shenzhen Guangdong CN 518100"
D46A6A,"Hon Hai Precision Ind. Co.,Ltd.",CN,"Building D21,No.1, East Zone 1st Road Chongqing Chongqing CN 401332"
D80F99,"Hon Hai Precision Ind. Co.,Ltd.",CN,"Building D21,No.1, East Zone 1st Road Chongqing Chongqing CN 401332"
D81265,"CHONGQING FUGUI ELECTRONICS CO.,LTD.",CN,"Building D21,No.1, East Zone 1st Road,Xiyong Town,Shapingba District Chongqing Chongqing CN 401332"
D89C67,"Hon Hai Precision Ind. Co.,Ltd.",CN,"Building D21,No.1, East Zone 1st Road Chongqing Chongqing CN 401332"
DCA266,"Hon Hai Precision Ind. Co.,Ltd.",CN,"Building D21,No.1, East Zone 1st Road Chongqing Chongqing CN 401332"
E4AB89,MitraStar Technology Corp.,TW,"No. 6, Innovation Road II, Hsinchu TW 300"
E86F38,"CHONGQING FUGUI ELECTRONICS CO.,LTD.",CN,"Building D21,No.1, East Zone 1st Road,Xiyong Town,Shapingba District Chongqing Chongqing CN 401332"
E89EB4,"Hon Hai Precision Ind. Co.,Ltd.",CN,"Building D21,No.1, East Zone 1st Road Chongqing Chongqing CN 401332"
F8DA0C,"Hon Hai Precision Ind. Co.,Ltd.",CN,"Building D21,No.1, East Zone 1st Road Chongqing Chongqing CN 401332"
FC017C,"Hon Hai Precision Ind. Co.,Ltd.",CN,"Building D21,No.1, East Zone 1st Road Chongqing Chongqing CN 401332"
7CBA3F,"Arista Networks, Inc.",US,"5453 Great America Parkway, Santa Clara, CA, US 95054"
